,First_pokemon,Second_pokemon,Winner,Loser,Winner Type 1,Winner Type 2,Winner Total,Loser Type 1,Loser Type 2,Loser Total,Winner stat higher than Loser,Winner Effectiveness against Loser,Winner Name
123,503,453,503,453,water,,528,poison,fight,300,TRUE,1,Drapion
124,600,598,600,598,steel,,440,grass,steel,489,FALSE,0.25,Sawk
125,445,45,445,45,dragon,ground,700,grass,poison,490,TRUE,0.5,Bidoof
126,360,548,548,360,grass,,280,psychic,,260,TRUE,1,Phione
127,303,133,133,303,normal,,325,steel,fairy,480,FALSE,1,Scyther
128,51,331,51,331,ground,ground,425,grass,,335,TRUE,2,Vileplume
129,171,559,171,559,water,electric,460,dark,fight,348,TRUE,1,Quilava
130,758,129,758,129,poison,fire,480,water,,200,TRUE,2,Malamar
131,6,255,6,255,fire,flying,634,fire,,310,TRUE,0.5,Charmeleon
132,698,154,154,698,grass,,525,rock,ice,362,TRUE,2,Aerodactyl
133,92,491,491,92,dark,,600,ghost,poison,310,TRUE,0.5,Spiritomb
134,381,73,381,73,dragon,psychic,700,water,poison,515,TRUE,0.5,Armaldo
135,354,271,271,354,water,grass,340,ghost,,555,FALSE,1,Ho-oh
136,219,49,219,49,fire,rock,430,bug,poison,450,FALSE,0.25,Girafarig
137,736,244,244,736,fire,,580,bug,,300,TRUE,0.5,Delibird
138,683,245,245,683,water,,580,fairy,,462,TRUE,1,Mantine
139,533,452,533,452,fight,,405,poison,dark,500,FALSE,0.5,Heat Rotom
140,200,588,588,200,bug,,315,ghost,,435,FALSE,1,Swoobat
141,403,636,403,636,electric,,263,bug,fire,360,FALSE,1,Huntail
142,56,561,561,56,psychic,flying,490,fight,,305,TRUE,0.25,Oshawott
143,54,119,119,54,water,,450,water,,320,TRUE,0.5,Weezing
144,629,141,629,141,dark,flying,370,rock,water,495,FALSE,2,Archeops
145,547,779,547,779,grass,fairy,480,water,psychic,475,TRUE,0.5,Cresselia
146,380,547,547,380,grass,fairy,480,dragon,psychic,700,FALSE,0,Cresselia
147,407,307,307,407,fight,psychic,280,grass,poison,515,FALSE,1,Mega Gardevoir
148,153,559,153,559,grass,,405,dark,fight,348,TRUE,1,Kabutops
149,306,268,306,268,steel,rock,630,bug,,205,TRUE,0.5,Gardevoir
150,89,382,89,382,poison,poison,500,water,,770,FALSE,1,Magnemite
151,54,32,32,54,poison,,273,water,,320,FALSE,1,Raichu
152,172,745,745,172,rock,,487,electric,,205,TRUE,1,Furfrou
153,16,110,110,16,poison,,490,normal,flying,251,TRUE,1,Electrode
154,537,734,537,734,water,ground,509,normal,,253,TRUE,1,Mow Rotom
155,278,94,278,94,water,flying,270,ghost,poison,600,FALSE,1,Combusken
156,342,643,643,342,dragon,fire,680,water,dark,468,TRUE,1,Swanna
157,435,165,165,435,bug,flying,265,poison,dark,479,FALSE,1,Mega Mewtwo Y
158,638,691,691,638,poison,dragon,494,steel,fight,580,FALSE,0.5,Vullaby
159,734,718,718,734,dragon,ground,708,normal,,253,TRUE,1,Genesect
160,298,781,298,781,normal,fairy,190,ghost,grass,517,FALSE,0,Nuzleaf
161,42,113,42,113,poison,flying,455,normal,,450,TRUE,1,Clefable
162,97,316,97,316,psychic,,483,poison,,302,TRUE,1,Muk
163,416,397,397,416,normal,flying,340,bug,flying,474,FALSE,0.5,Glalie
164,483,400,483,400,steel,dragon,680,normal,water,410,TRUE,0.25,Stunky
165,275,155,155,275,fire,,309,grass,dark,480,FALSE,0.5,Mega Aerodactyl
166,154,461,154,461,grass,,525,dark,ice,510,TRUE,2,Aerodactyl
167,309,4,4,309,fire,,309,electric,,295,TRUE,1,Mega Venusaur
168,539,30,30,539,poison,,365,fight,,465,FALSE,0.5,Arbok
169,545,266,545,266,bug,poison,485,bug,,205,TRUE,0.5,Giratina Altered Forme
170,283,340,340,283,water,ground,468,bug,water,269,TRUE,1,Mega Manectric
171,232,254,254,232,grass,,630,ground,,500,TRUE,0.5,Stantler
172,384,427,427,384,normal,,350,dragon,flying,780,FALSE,1,Mega Rayquaza
173,161,781,161,781,normal,,215,ghost,grass,517,FALSE,0,Dragonair
174,496,420,496,420,grass,,413,grass,,275,TRUE,0.5,Munchlax
175,268,159,159,268,water,,405,bug,,205,TRUE,1,Moltres
176,473,593,473,593,ice,ground,530,water,ghost,480,TRUE,2,Drifloon
177,550,475,550,475,water,,460,psychic,fight,618,FALSE,1,Darkrai
178,199,785,785,199,electric,fairy,570,water,psychic,490,TRUE,1,Gourgeist Average Size
179,385,732,732,385,normal,flying,355,steel,psychic,600,FALSE,1,Talonflame
180,488,196,488,196,psychic,,600,psychic,,525,TRUE,0.5,Mime Jr.
181,30,587,30,587,poison,,365,electric,flying,428,FALSE,1,Arbok
182,36,494,494,36,psychic,fire,600,fairy,,483,TRUE,0.5,Garchomp
183,513,184,184,513,water,fairy,420,fire,,316,TRUE,0.5,Crobat
184,129,106,129,106,water,,200,fight,,455,FALSE,1,Seaking
185,6,604,6,604,fire,flying,634,electric,,515,TRUE,2,Charmeleon
186,137,315,137,315,normal,,395,grass,poison,400,FALSE,1,Pinsir
187,83,509,509,83,dark,,281,normal,flying,377,FALSE,1,Mantyke
188,585,534,585,534,normal,grass,335,fight,,505,FALSE,2,Boldore
189,743,57,57,743,fight,,455,bug,fairy,464,FALSE,1,Dugtrio
190,220,723,723,220,grass,flying,420,ice,ground,250,TRUE,0,Braixen
191,764,665,764,665,fairy,,485,bug,,213,TRUE,0.5,Clawitzer
192,708,439,708,439,ghost,grass,309,psychic,fairy,310,FALSE,1,Zekrom
193,28,545,545,28,bug,poison,485,ground,ice,450,TRUE,1,Giratina Altered Forme
194,23,796,23,796,poison,,288,electric,,570,FALSE,1,Pidgeot
195,698,147,147,698,dragon,,300,rock,ice,362,FALSE,2,Jolteon
196,306,635,635,306,dark,dragon,600,steel,rock,630,FALSE,1,Cinccino
197,158,666,158,666,water,,314,bug,flying,411,FALSE,1,Zapdos
198,55,750,750,55,ground,,500,water,,500,FALSE,2,Doublade
199,513,439,513,439,fire,,316,psychic,fairy,310,TRUE,0.5,Weavile
200,769,264,264,769,normal,,420,ghost,ground,320,TRUE,0,Entei
201,232,499,499,232,fire,fight,418,ground,,500,FALSE,2,Mega Lucario
202,23,623,23,623,poison,,288,ground,ghost,483,FALSE,2,Pidgeot
203,97,250,250,97,fire,flying,680,psychic,,483,TRUE,1,Kingdra
204,324,544,544,324,bug,poison,360,fire,,470,FALSE,2,Regigigas
205,517,10,517,10,psychic,,292,bug,,195,TRUE,2,Tangrowth
206,586,461,461,586,dark,ice,510,normal,grass,475,TRUE,1,Wormadam Trash Cloak
207,779,349,349,779,water,,200,water,psychic,475,FALSE,0.5,Sharpedo
208,669,226,226,669,water,flying,485,fairy,,303,TRUE,1,Snubbull
209,623,53,623,53,ground,ghost,483,normal,dark,440,TRUE,0,Sigilyph
210,538,718,718,538,dragon,ground,708,fight,,465,TRUE,1,Genesect
211,438,242,438,242,rock,,290,normal,,540,FALSE,0.5,Infernape
212,523,759,523,759,electric,,497,normal,fight,340,TRUE,1,Glaceon
213,14,103,103,14,grass,psychic,530,bug,poison,205,TRUE,8,Mega Gengar
214,378,152,152,378,grass,,318,ice,,580,FALSE,2,Kabuto
215,478,361,478,361,ice,ghost,480,ice,,300,TRUE,0.5,Mismagius
216,137,698,137,698,normal,,395,rock,ice,362,TRUE,1,Pinsir
217,354,739,739,354,fight,,338,ghost,,555,FALSE,1,Floette
218,233,684,684,233,fairy,,341,normal,,515,FALSE,1,Golett
219,291,605,291,605,bug,flying,456,psychic,,335,TRUE,1,Beautifly
220,96,264,264,96,normal,,420,psychic,,328,TRUE,1,Entei
221,730,137,137,730,normal,,395,water,fairy,530,FALSE,1,Pinsir
222,129,744,129,744,water,,200,rock,,280,FALSE,1,Seaking
223,611,107,611,107,dragon,,410,fight,,455,FALSE,1,Basculin
224,58,560,560,58,dark,fight,488,fire,,350,TRUE,1,Emboar
225,658,146,658,146,water,dark,640,fire,flying,580,TRUE,0.5,Galvantula
226,625,753,625,753,dark,steel,490,grass,,250,TRUE,0.5,Cofagrigus
227,524,27,524,27,rock,,280,ground,ice,300,FALSE,2,Gliscor
228,794,474,794,474,bug,fight,570,normal,,535,TRUE,1,Yveltal
229,365,391,391,365,fire,fight,405,ice,water,530,FALSE,1,Tropius
230,592,585,592,585,water,ghost,335,normal,grass,335,FALSE,0,Mega Audino
231,512,586,512,586,grass,,498,normal,grass,475,TRUE,0.5,Mega Abomasnow
232,526,424,424,526,normal,,482,rock,,515,FALSE,1,Groudon
233,70,456,70,456,grass,poison,390,water,,330,TRUE,0.5,Kadabra
234,540,288,540,288,bug,grass,310,normal,,440,FALSE,1,Azelf
235,347,389,347,389,rock,bug,355,grass,ground,525,FALSE,1,Swalot
236,689,128,128,689,normal,,490,rock,water,500,FALSE,1,Goldeen
237,211,701,701,211,fight,flying,500,water,poison,440,TRUE,1,Terrakion
238,336,385,336,385,poison,,458,steel,psychic,600,FALSE,2,Medicham
239,594,80,80,594,water,psychic,590,water,,470,TRUE,0.5,Tentacruel
240,785,490,490,785,water,,600,electric,fairy,570,TRUE,2,Chatot
241,425,308,425,308,ghost,flying,348,fight,psychic,510,FALSE,0,Primal Groudon
242,27,731,731,27,normal,flying,265,ground,ice,300,FALSE,0,Fletchinder
243,459,399,459,399,grass,ice,334,normal,,250,TRUE,1,Wormadam Plant Cloak
244,421,494,421,494,grass,,450,psychic,fire,600,FALSE,2,Mega Latios
245,578,768,768,578,bug,water,530,psychic,,370,TRUE,1,Tyrantrum
246,63,82,63,82,psychic,,310,electric,steel,465,FALSE,1,0
247,257,221,257,221,fire,fight,630,ice,ground,450,TRUE,1,Hitmontop
248,4,150,4,150,fire,,309,psychic,,780,FALSE,1,Mega Venusaur
249,546,333,546,333,grass,fairy,280,normal,flying,310,FALSE,2,Giratina Origin Forme
250,308,544,544,308,bug,poison,360,fight,psychic,510,FALSE,0.5,Regigigas
251,213,442,213,442,bug,rock,505,ghost,dark,485,TRUE,1,Umbreon
252,575,302,302,575,dark,ghost,480,psychic,,390,TRUE,0,Wingull
253,209,645,209,645,fairy,,300,ground,flying,600,FALSE,1,Yanma
254,92,768,92,768,ghost,poison,310,bug,water,530,FALSE,0.25,Doduo
255,116,672,116,672,water,,295,grass,,350,FALSE,2,Hitmonchan
256,132,69,69,132,grass,poison,300,normal,,288,TRUE,1,Abra
257,568,396,568,396,poison,,329,normal,flying,245,TRUE,1,Stoutland
258,644,218,644,218,dragon,electric,680,fire,,250,TRUE,0.5,Vanillite
259,321,163,163,321,normal,flying,262,water,,500,FALSE,1,Mewtwo
260,17,164,164,17,normal,flying,452,normal,flying,349,TRUE,1,Mega Mewtwo X
261,715,190,715,190,flying,dragon,535,normal,,360,TRUE,1,Keldeo Resolute Forme
262,51,57,51,57,ground,ground,425,fight,,455,FALSE,1,Vileplume
263,237,448,448,237,fight,steel,625,fight,,455,TRUE,2,Kricketune
264,580,676,580,676,water,flying,305,normal,,472,FALSE,1,Tranquill
265,789,726,726,789,fire,,420,psychic,,200,TRUE,1,Frogadier
266,420,718,420,718,grass,,275,dragon,ground,708,FALSE,0.5,Latios
267,83,499,499,83,fire,fight,418,normal,flying,377,TRUE,2,Mega Lucario
268,526,159,159,526,water,,405,rock,,515,FALSE,1,Moltres
269,115,56,56,115,fight,,305,normal,,590,FALSE,1,Diglett
270,358,636,358,636,psychic,,455,bug,fire,360,TRUE,2,Grumpig
271,54,532,532,54,fight,,305,water,,320,FALSE,1,Rotom
272,534,798,534,798,fight,,505,grass,steel,570,FALSE,1,Wash Rotom
273,768,179,768,179,bug,water,530,electric,,280,TRUE,2,Tyrantrum
274,94,724,724,94,grass,ghost,530,ghost,poison,600,FALSE,2,Delphox
275,795,437,795,437,bug,fight,570,steel,psychic,500,TRUE,2,Zygarde Half Forme
276,313,432,432,313,normal,,452,bug,,430,TRUE,1,Deoxys Speed Forme
277,305,251,305,251,steel,rock,430,psychic,grass,600,FALSE,0.5,Kirlia
278,269,289,269,289,bug,poison,385,normal,,670,FALSE,1,Mega Tyranitar
279,593,733,733,593,normal,flying,485,water,ghost,480,TRUE,0,Scatterbug
280,568,428,428,568,normal,,580,poison,,329,TRUE,1,Jirachi
281,290,287,287,290,normal,,280,bug,ground,266,TRUE,1,Zigzagoon
282,762,733,762,733,grass,,290,normal,flying,485,FALSE,2,Dragalge
283,217,100,100,217,electric,,330,normal,,500,FALSE,1,Gastly
284,668,87,668,87,fire,normal,507,water,ice,475,TRUE,1,Beheeyem
285,165,49,165,49,bug,flying,265,bug,poison,450,FALSE,0.5,Mega Mewtwo Y
286,123,771,771,123,water,,410,bug,flying,500,FALSE,1,Sylveon
287,261,154,154,261,grass,,525,dark,,220,TRUE,1,Aerodactyl
288,225,640,640,225,grass,fight,580,ice,flying,330,TRUE,8,Duosion
289,313,103,103,313,grass,psychic,530,bug,,430,TRUE,4,Mega Gengar
290,106,505,505,106,normal,,420,fight,,455,FALSE,2,Toxicroak
291,453,614,614,453,ice,,505,poison,fight,300,TRUE,2,Krookodile
292,107,48,48,107,bug,poison,305,fight,,455,FALSE,0.25,Golbat
293,722,590,590,722,grass,poison,294,grass,flying,320,FALSE,0.5,Excadrill
294,559,431,431,559,normal,,310,dark,fight,348,FALSE,2,Deoxys Defense Forme
295,141,727,727,141,fire,dark,530,rock,water,495,TRUE,4,Greninja
296,490,239,490,239,water,,600,electric,,360,TRUE,2,Chatot
297,490,340,340,490,water,ground,468,water,,600,FALSE,1,Mega Manectric
298,373,128,128,373,normal,,490,dragon,flying,700,FALSE,1,Goldeen
299,3,730,3,730,grass,poison,625,water,fairy,530,TRUE,0.25,Venusaur
300,502,91,502,91,water,,413,water,ice,525,FALSE,0.25,Skorupi
301,714,104,714,104,flying,dragon,245,ground,,320,FALSE,0,Keldeo Ordinary Forme
302,788,276,276,788,normal,flying,270,water,fairy,570,FALSE,1,Mega Sceptile
303,459,16,16,459,normal,flying,251,grass,ice,334,FALSE,1,Butterfree
304,432,143,432,143,normal,,452,normal,,540,FALSE,1,Deoxys Speed Forme
305,724,2,724,2,grass,ghost,530,grass,poison,405,TRUE,0.5,Delphox
306,648,533,648,533,normal,psychic,600,fight,,405,TRUE,1,Sawsbuck
307,250,357,250,357,fire,flying,680,grass,flying,460,TRUE,0.25,Kingdra
308,155,439,155,439,fire,,309,psychic,fairy,310,FALSE,0.5,Mega Aerodactyl
309,447,20,20,447,normal,dark,413,fight,,285,TRUE,2,Mega Beedrill
310,366,371,366,371,water,,345,dragon,,300,TRUE,1,Altaria
311,337,770,337,770,rock,psychic,460,ghost,ground,480,FALSE,4,Mega Medicham
312,358,765,358,765,psychic,,455,normal,psychic,490,FALSE,0.5,Grumpig
313,198,110,198,110,dark,flying,405,poison,,490,FALSE,1,Bellossom
314,152,760,760,152,normal,fight,500,grass,,318,TRUE,1,Barbaracle
315,164,577,164,577,normal,flying,452,psychic,,290,TRUE,1,Mega Mewtwo X
316,174,646,646,174,dragon,ice,700,normal,fairy,210,TRUE,2,Vanilluxe
317,438,59,59,438,fire,,555,rock,,290,TRUE,2,Persian
318,614,443,614,443,ice,,505,dragon,ground,300,TRUE,1,Krookodile
319,789,127,127,789,bug,,600,psychic,,200,TRUE,1,Seadra
320,504,421,421,504,grass,,450,normal,,255,TRUE,1,Mega Latios
321,565,214,214,565,bug,fight,600,water,rock,495,TRUE,1,Murkrow
322,158,635,635,158,dark,dragon,600,water,,314,TRUE,0.5,Cinccino
323,386,21,21,386,normal,flying,262,psychic,,600,FALSE,1,Pidgey
324,408,404,404,408,electric,,363,rock,,350,TRUE,1,Gorebyss
325,349,440,349,440,water,,200,normal,,220,FALSE,1,Sharpedo
326,410,295,410,295,rock,steel,350,normal,,490,FALSE,0.25,Mega Salamence
327,83,569,569,83,poison,,474,normal,flying,377,TRUE,1,Purrloin
328,249,411,249,411,psychic,flying,680,rock,steel,495,TRUE,2,Mega Houndoom
329,173,609,173,609,fairy,,218,ghost,fire,520,FALSE,1,Totodile
330,770,572,572,770,normal,,300,ghost,ground,480,FALSE,0,Simisage
331,51,473,473,51,ice,ground,530,ground,ground,425,TRUE,1,Drifloon
332,452,106,106,452,fight,,455,poison,dark,500,FALSE,0.5,Hypno
333,550,769,550,769,water,,460,ghost,ground,320,TRUE,1,Darkrai
334,525,740,525,740,rock,,390,fight,ice,478,FALSE,2,Mamoswine
335,464,762,762,464,grass,,290,ground,rock,535,FALSE,0.5,Dragalge
336,147,798,798,147,grass,steel,570,dragon,,300,TRUE,0.5,Hoopa Confined
337,572,45,572,45,normal,,300,grass,poison,490,FALSE,1,Simisage
338,569,741,569,741,poison,,474,fire,flying,476,FALSE,1,Purrloin
339,193,28,28,193,ground,ice,450,bug,flying,390,TRUE,1,Fearow
340,247,445,247,445,rock,ground,410,dragon,ground,700,FALSE,2,Houndour
341,511,280,280,511,psychic,fairy,198,grass,,316,FALSE,1,Mega Blaziken
342,435,44,44,435,grass,poison,395,poison,dark,479,FALSE,1,Ninetales
343,794,359,794,359,bug,fight,570,dark,,565,TRUE,0.5,Yveltal
344,196,758,758,196,poison,fire,480,psychic,,525,FALSE,2,Malamar
345,470,410,410,470,rock,steel,350,grass,,525,FALSE,1,Mega Salamence
346,631,164,164,631,normal,flying,452,fire,,484,FALSE,1,Mega Mewtwo X
347,451,790,451,790,poison,bug,330,psychic,,400,FALSE,2,Luxray
348,211,442,442,211,ghost,dark,485,water,poison,440,TRUE,0.5,Starly
349,773,582,773,582,normal,,570,ice,,305,TRUE,1,Dedenne
350,403,59,59,403,fire,,555,electric,,263,TRUE,1,Persian
351,401,413,413,401,bug,grass,424,bug,,194,TRUE,2,Metagross
352,228,679,679,228,steel,ghost,325,dark,fire,330,FALSE,4,Accelgor
353,753,196,196,753,psychic,,525,grass,,250,TRUE,1,Ampharos
354,578,434,434,578,poison,dark,329,psychic,,370,FALSE,0,Grotle
355,210,40,40,210,normal,fairy,435,fairy,,450,FALSE,1,Nidoking
356,38,716,716,38,fairy,,680,fire,ice,505,TRUE,1,Meloetta Aria Forme
357,18,458,458,18,water,flying,345,normal,flying,579,FALSE,1,Burmy
358,538,742,538,742,fight,,465,bug,fairy,304,TRUE,1,Uxie
